abscodi,direction,latitude,longitude
023,"Carrer PROVENÇA 39, 08029 Barcelona",41.3839596,2.1468469
027,"Carrer BRUC 114, 08009 Barcelona",41.3961185,2.1673085
020,"Carrer JOAQUIN COSTA 31, 08001 Barcelona",41.3822031,2.1657387
035,"Carrer CREU COBERTA 71, 08014 Barcelona",41.3750267,2.1455662
056,"Carrer PORTO 30-36, 08032 Barcelona",41.4306091,2.1566006
024,"Carrer SEPULVEDA 170, 08011 Barcelona",41.38298530000001,2.1624005
072,"Carrer RAMON TURRO 252, 08005 Barcelona",41.4021642,2.2062407
053,"Carrer SANTUARI 53, 08032 Barcelona",41.4210536,2.1522955
030,"Carrer NAPOLS 258, 08025 Barcelona",41.4021378,2.1707438
016,"Carrer GINEBRA 13, 08003 Barcelona",41.3816084,2.1881204
027,"Carrer BRUC 134, 08037 Barcelona",41.3969866,2.1662943
024,"Carrer ARIBAU 20, 08011 Barcelona",41.3867102,2.1618728
395,"Carrer GRAN DE SANT ANDREU 186, 08030 Barcelona",41.4330301,2.1895031
017,"Passeig BORN 11, 08003 Barcelona",41.3845158,2.1824944
395,"Carrer LLENGUADOC 118, 08030 Barcelona",41.4303435,2.1849138
051,"Avinguda MARE DE DEU DE MONTSERRAT 49, 08024 Barcelona",41.414608,2.1635264
017,"Carrer MONTCADA 10, 08003 Barcelona",41.38521129999999,2.1806679
046,"Carrer BALMES 431, 08022 Barcelona",41.4086615,2.1375
016,"Passeig JOAN DE BORBO COMTE DE BARCELONA 33, 08003 Barcelona",41.3765375,2.1890429
019,"Carrer NOU DE LA RAMBLA 28, 08001 Barcelona",41.3782721,2.1732228
020,"Ronda SANT ANTONI 40, 08001 Barcelona",41.38065,2.1635462
385,"Carrer AMILCAR 7, 08031 Barcelona",41.4298815,2.1720944
024,"Carrer MUNTANER 67 BIS, 08011 Barcelona",41.38683959999999,2.1589593
025,"Carrer MUNTANER 147, 08036 Barcelona",41.3904876,2.1541165
017,"Plaça SANT PERE 5, 08003 Barcelona",41.3891356,2.1793628
077,"Gran Via CORTS CATALANES 931-941, 08018 Barcelona",41.4102107,2.1951066
030,"Carrer DIPUTACIO 336, 08009 Barcelona",41.3960943,2.1747976
040,"Avinguda DE SARRIA 52-54, 08029 Barcelona",41.3910187,2.1410401
021,"Carrer VILADOMAT 60 BIS, 08015 Barcelona",41.3776819,2.1603226
028,"Gran Via CORTS CATALANES 748, 08013 Barcelona",41.39747920000001,2.1795384
023,"Carrer VILADOMAT 295, 08029 Barcelona",41.3884112,2.1451972
038,"Carrer VALLESPIR 45, 08014 Barcelona",41.3794502,2.1368341
022,"Carrer ROCAFORT 92, 08015 Barcelona",41.38003339999999,2.1526928
032,"Carrer ROSER 39, 08004 Barcelona",41.3729873,2.1665722
047,"Travessera DE GRACIA 235, 08012 Barcelona",41.4038923,2.1616525
025,"Carrer ARIBAU 62, 08011 Barcelona",41.38869709999999,2.1592414
017,"Avinguda FRANCESC CAMBO 12, 08003 Barcelona",41.3857313,2.1775899
067,"Passeig MARAGALL 170, 08027 Barcelona",41.4249725,2.176822
027,"Rambla CATALUNYA 102, 08008 Barcelona",41.3940533,2.1598979
016,"Carrer BALUARD 34, 08003 Barcelona",41.3802374,2.1888022
031,"Avinguda GAUDI 71, 08025 Barcelona",41.4099172,2.1741766
