Carrer AÇORES 8, 08027 Barcelona
Carrer GRAN VIA CORTS CATALANES 1157, 08020 Barcelona
Plaça PASTRANA 1, 08032 Barcelona
Plaça FERNANDO DE LOS RIOS 5, 08020 Barcelona
Carrer JUAN DE MENA 1-3, 08035 Barcelona
Carrer MEJIA DE LEQUERICA 46, 08028 Barcelona
Carrer VALLCIVERA 6-8, 08033 Barcelona
Carrer ENAMORATS 145, 08026 Barcelona
Carrer CORSEGA 507, 08025 Barcelona
Carrer CAROLINES 26 bis, 08012 Barcelona
Carrer FOC FOLLET 69, 08030 Barcelona
Carrer PACIFIC 61-63, 08027 Barcelona
Carrer XIPRER 16, 08041 Barcelona
Carrer TERRANOSTRA 37-39, 08110 Barcelona
Carrer DANTE ALIGHIERI 155, 08032 Barcelona
Carrer JOSEP MIRET 4, 08020 Barcelona
Avinguda GRAN VIA CORTS CATALANES 152, 08038 Barcelona
Carrer SABINO DE ARANA 20, 08028 Barcelona
Carrer BRUSEL.LES 43, 08041 Barcelona
Avinguda COLL DEL PORTELL 55, 08024 Barcelona
Carrer BEAT ALMATO 20, 08023 Barcelona
Carrer CIUTAT D'ELX 11, 08027 Barcelona
Carrer ANDRADE 224, 08020 Barcelona
Carrer CAMIL I FABRA 5, 08030 Barcelona
Carrer PORRERA 21, 08031 Barcelona
Carrer ESTADELLA 27, 08030 Barcelona
Carrer HONDURES 63, 08027 Barcelona
Carrer GANDUXER 5, 08021 Barcelona
Carrer BINEFAR 6, 08020 Barcelona
Carrer SANT ISCLE 21, 08031 Barcelona
Carrer MINA DE LA CIUTAT 91, 08042 Barcelona
Carrer PUIG I VALLS 29, 08028 Barcelona
Carrer BERRUGUETE 56, 08035 Barcelona
Carrer MINERIA 12, 08038 Barcelona
Carrer ARENYS 25, 08035 Barcelona
Carrer TORRENT D'EN VIDALET 35, 08012 Barcelona
Carrer SANT JOSEP DE LA MUNTANYA 6, 08024 Barcelona
Carrer IDUMEA 14, 08035 Barcelona
Carrer CARTELLA 192, 08031 Barcelona
Carrer JOAN TORRES 21-23, 08030 Barcelona
Carrer ARTESANIA 148, 08042 Barcelona
Carrer QUEIXANS 4, 08032 Barcelona
Carrer MONTSERRAT DE CASANOVAS 14, 08032 Barcelona
Carrer HARMONIA 31, 08035 Barcelona
Carrer ALBAREDA 6-8, 08004 Barcelona
Carrer ESTERAS 28, 08028 Barcelona
Carrer ARTESANIA 64, 08042 Barcelona
Carrer VIOLANT D'HONGRIA 60, 08028 Barcelona
Carrer LEIVA 3, 08014 Barcelona
Carrer BERNAT BRANSI 38, 08032 Barcelona
Carrer VICO 17, 08021 Barcelona
Carrer TURO DE LA TRINITAT 107, 08033 Barcelona
Carrer WELLINGTON 52, 08005 Barcelona
Carrer PISUERGA 20, 08028 Barcelona
